City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
368,Zhangye,CN,75.52,broken clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
369,Wuwei,CN,66.79,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
371,Panormos,GR,79.02,clear sky,35.4182,24.6909,Kirki Village Ξενοδοχείο
374,Acajutla,SV,85.8,broken clouds,13.5928,-89.8275,Laureles
376,Jalu,LY,92.46,clear sky,29.0331,21.5482,صاحبة الفخامة
377,Honiara,SB,75.76,overcast clouds,-9.4333,159.95,Heritage Park Hotel
378,Pierre,US,85.86,clear sky,44.3683,-100.351,Ramkota Hotel
379,Poum,NC,78.33,clear sky,-20.2333,164.0167,
381,Hasaki,JP,75.6,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
382,Polis,CY,78.62,clear sky,35.0367,32.4264,Marion
383,Rubio,VE,79.65,broken clouds,7.7013,-72.3557,Tourist Inn Where Maria P
384,Sur,OM,85.55,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
386,Hambantota,LK,81.1,overcast clouds,6.1241,81.1185,Bungalow 63
388,Kokopo,PG,76.78,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
389,Sinnamary,GF,80.87,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
390,Bredy,RU,66.9,broken clouds,52.4153,60.3411,Individual'nyy Predprinimatel' Rakhmanin Andrey Aleksandrovich
393,Dombarovskiy,RU,73.63,broken clouds,50.7587,59.5386,
394,Puerto Carreno,CO,86.13,broken clouds,6.189,-67.4859,Casa Hotel Victoria
395,Ledyard,US,80.19,clear sky,41.4398,-72.0142,Stonecroft Country Inn
399,Tamandare,BR,79.99,clear sky,-8.7597,-35.1047,Pousada 100 Passos
404,Mandalgovi,MN,69.06,overcast clouds,45.7625,106.2708,В.Ганбат
405,Pingshan,CN,78.67,broken clouds,22.9938,114.7131,Island Skylight Resort
407,Matagami,CA,78.22,light rain,49.7502,-77.6328,Motel Le Caribou
408,Thompson,CA,81.64,few clouds,55.7435,-97.8558,Burntwood Hotel
409,Damghan,IR,86.04,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
410,Kalabo,ZM,65.82,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
411,Kyaikto,MM,76.87,overcast clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
412,Steamboat Springs,US,82.71,clear sky,40.485,-106.8317,Steamboat Grand
413,Berlin,DE,71.02,clear sky,52.5244,13.4105,Hotel Motel One Berlin-Hackescher Markt
414,Americus,US,87.93,scattered clouds,32.0724,-84.2327,Best Western Plus Windsor Hotel
415,Pauini,BR,94.55,scattered clouds,-7.7136,-66.9764,Casa do Kiwliks
